0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 0.0634665 
0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 0.126933 
0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 0.1904 
0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 0.253866 
0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 0.317333 
0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 0.380799 
0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 0.444266 
0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 0.507732 
0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 0.571199 
